382.54,65.306,141.47,5.8071,0.34182,1188,1.687,0.67255
375.97,64.429,134.97,6.0163,0.33916,1202.4,1.6814,0.67901
371.94,65.287,142.85,5.9649,0.33769,1194.8,1.6545,0.661
372.53,65.312,143.6,6.1342,0.33949,1195.4,1.6675,0.67144
379.19,65.14,144.58,6.0011,0.34186,1189.6,1.6736,0.66345
372.79,64.845,145.85,5.8947,0.34228,1177.6,1.6821,0.66338
366.22,65.179,147.59,5.8404,0.33497,1190.7,1.6737,0.66984
373.75,64.557,141,5.7219,0.33395,1178.8,1.6858,0.67306
366.16,65.379,131.39,5.7549,0.33645,1164.5,1.7085,0.66693
363.29,66.056,138.81,5.6575,0.33664,1174.6,1.694,0.66935
363.44,65.282,142.04,5.959,0.33627,1195.5,1.6991,0.66054
363.02,63.895,140.19,6.0147,0.34487,1182.8,1.6853,0.67494
367.63,65.816,136.36,6.1277,0.33074,1183.7,1.6833,0.67698
365.16,65.771,142.11,5.8294,0.33471,1185.4,1.6998,0.65768
365.18,65.582,142.08,6.2344,0.33043,1176.6,1.6609,0.68116
371.36,65.771,140.3,5.9797,0.33418,1168.1,1.6877,0.67796
360.28,64.441,132.95,5.86,0.3305,1170.6,1.6893,0.67081
363.65,64.349,133.66,5.8794,0.3269,1182.6,1.6804,0.67826
363.99,65.867,134.55,5.9143,0.33082,1171.7,1.7077,0.67125
360.36,65.956,142.22,5.9646,0.32997,1184.8,1.6979,0.67245
365.69,66.565,136.64,6.0208,0.3286,1196.4,1.6912,0.67078
360.49,65.212,139.82,6.0581,0.33355,1184.4,1.6742,0.65777
371.58,67.229,136.37,6.1396,0.33308,1168.5,1.707,0.67843
363.72,64.029,140.39,6.0806,0.32791,1170,1.7021,0.67817
364.26,65.345,141.91,6.0321,0.33685,1182.2,1.6487,0.65493
367.58,65.839,139.66,5.9647,0.32979,1204.8,1.685,0.66438
355.22,65.714,136.54,5.8154,0.32999,1195.9,1.668,0.67867
360.68,65.246,133.9,5.7905,0.32971,1200.4,1.7042,0.67119
368.82,65.199,134.17,5.7658,0.33371,1185.7,1.6927,0.66822
361.92,64.244,138.68,5.9146,0.33324,1177.2,1.6712,0.67369
354.11,66.367,138.15,5.7503,0.32737,1175.7,1.685,0.66969
362.97,66.08,138.05,5.858,0.32374,1165.7,1.6585,0.67333
361.32,64.601,136.36,5.8633,0.32492,1178.6,1.6996,0.67651
355.46,66.025,135.8,5.8777,0.32961,1172.7,1.7012,0.6867
360.19,65.813,137.14,5.7783,0.32524,1194.1,1.6753,0.67012
364.17,65.389,136.83,5.9575,0.32849,1173.9,1.6554,0.67949
359.18,65.158,133.78,5.8358,0.31983,1179.8,1.6628,0.67138
353.62,66.458,131.97,5.9469,0.32772,1193.8,1.6992,0.67135
351.52,66.218,136.23,5.9136,0.32477,1184.4,1.6901,0.66571
358.5,65.279,137.98,6.0327,0.32477,1193.2,1.688,0.68086
351.85,65.209,130.13,5.8967,0.32478,1175.6,1.6543,0.68007
359.72,65.79,131.32,6.0513,0.3191,1159.2,1.6875,0.68868
357.71,67.152,135.63,5.8284,0.31521,1185,1.6865,0.66878
349.73,65.299,127.86,5.8226,0.32509,1179,1.6835,0.68118
352.75,66.131,136.74,5.9425,0.32164,1175.8,1.6723,0.67409
344.54,65.41,131.86,5.7234,0.32146,1188.3,1.6634,0.6686
359.1,66.374,132.17,5.7514,0.31575,1173.7,1.6994,0.66297
349.86,66.962,134,5.8393,0.31699,1194.7,1.6825,0.66952
349.47,66.236,132.25,5.7882,0.31632,1179.2,1.7077,0.67235
339.69,67.061,129.15,5.7944,0.32203,1173.5,1.6826,0.67471
345.42,66.889,127.05,5.826,0.31214,1186.4,1.6964,0.67637
345.69,66.69,127.69,6.0714,0.30806,1186.9,1.6828,0.67576
346.1,67.023,130.92,6.1209,0.30567,1181.9,1.6688,0.68102
345.8,66.762,126.51,6.0989,0.30879,1182.3,1.6946,0.68321
340.17,67.419,133.15,5.9719,0.31501,1183.7,1.6805,0.67363
347.11,65.711,129,5.8662,0.31919,1167.4,1.7073,0.67341
346.98,67.076,125.05,5.9991,0.3171,1173.2,1.6834,0.68266
343.71,66.484,130.3,6.0211,0.31915,1184.2,1.6833,0.67012
348.56,66.294,127.95,6.0999,0.31915,1186.2,1.7285,0.67758
348.52,67.596,125.52,5.7156,0.3177,1155.9,1.6734,0.67725
338.76,66.069,130.27,5.9166,0.31242,1181.6,1.6689,0.66672
347.36,66.31,134.92,6.0151,0.31662,1182.1,1.7063,0.66388
343.18,67.903,129.67,6.0967,0.3099,1189.7,1.6994,0.67488
350.66,66.698,122.62,5.8602,0.31427,1151.1,1.7125,0.67043
345.9,66.043,131.17,6.1789,0.32153,1180.3,1.7027,0.66777
348.17,67.289,134.62,6.4778,0.31596,1169.8,1.6814,0.67316
338.3,67.505,131.64,6.2885,0.31977,1157.3,1.6838,0.67171
346.75,66.527,131.26,6.0118,0.31808,1174,1.6873,0.66232
348.15,66.867,137.74,6.115,0.31781,1176.5,1.6752,0.6648
353.91,66.879,128.23,5.9778,0.31678,1192,1.7064,0.65226
351.36,66.465,126.79,6.1621,0.31903,1169.8,1.6744,0.65524
356.5,66.809,129.11,6.2466,0.32307,1174,1.6615,0.67206
358.13,66.795,131.12,5.8256,0.32477,1173.9,1.683,0.66188
352.98,66.897,136.63,5.9718,0.32108,1176.3,1.6972,0.66276
355.25,67.47,136.05,5.9905,0.32456,1176.9,1.7226,0.66728
347.85,67.345,130.03,5.9274,0.32448,1187.6,1.6676,0.66691
353.77,66.017,132.41,5.8351,0.32412,1179,1.714,0.67597
351.53,66.891,129.14,5.9369,0.32629,1166,1.7087,0.66942
348.8,66.876,132.1,6.0501,0.31785,1185.8,1.6531,0.66797
356.14,66.627,128.11,6.0914,0.31856,1195.5,1.6815,0.67533
351.11,67.954,132.91,6.0226,0.31606,1190.5,1.6818,0.66968
348.23,67.663,130.64,5.7553,0.3147,1154.3,1.704,0.67827
351.55,66.952,130.81,5.6218,0.32331,1164.5,1.6799,0.65487
349.64,66.585,126.24,5.7871,0.32682,1184.3,1.6725,0.68614
347.54,67.352,131.32,5.7055,0.30777,1173.7,1.678,0.66953
346.38,67.772,123.89,5.6509,0.31393,1172.7,1.681,0.68044
343.31,69.306,126.17,5.6874,0.32101,1193,1.7288,0.67946
343.41,68.81,127.17,5.7058,0.31522,1199.5,1.7033,0.67936
345.23,67.896,122.61,5.8243,0.31508,1196.1,1.6948,0.67505
343.36,69.499,125.75,5.8681,0.31476,1186.9,1.723,0.68346
